board_index,tile_type,display_label,category,reward_or_action,realm_specific,notes
24,fortune,??,random event,"Draws weighted fortune card; can grant coins, rolls, soldiers, blessing, jackpot, or lose coins/soldiers/rolls.",Coin outcomes scale with tier and RG(); soldiers/rolls fixed by card.,"position x=-14.430, y=0.055, z=1.560; Many positive coin cards use multiplier; rolls/soldiers/losses usually do not. May affect coins/rolls/soldiers/blessing; store currency economy indirectly."
25,coin,??,currency,"Grants random gold: (20, 30, 40, or 50) x multiplier x (tier+1) x realm growth x position multiplier.",Reward scales with RG(); higher tier/realm increases practical value.,"position x=-13.550, y=0.448, z=-0.475; Directly multiplied by S.multi. Coins quest via gain(); weekly indirectly through rolls spent, not landing."
26,fortune,??,random event,"Draws weighted fortune card; can grant coins, rolls, soldiers, blessing, jackpot, or lose coins/soldiers/rolls.",Coin outcomes scale with tier and RG(); soldiers/rolls fixed by card.,"position x=-13.235, y=1.002, z=-2.664; Many positive coin cards use multiplier; rolls/soldiers/losses usually do not. May affect coins/rolls/soldiers/blessing; store currency economy indirectly."
27,decree,??,choice/event,Starts royal decree choice event; affects kingdom policies/economy depending on selected decree.,Decree choices affect kingdom economy; presentation is not realm-specific.,"position x=-13.325, y=1.395, z=-4.882; No direct multiplier interaction in tile landing. Progression/economy choice system."
28,chest,??,interactive reward,Spawns tappable royal chest; grants gold and rolls after opening.,Gold scales with RG() and tier; rolls scale with tier.,"position x=-13.223, y=1.395, z=-7.097; Gold and extra rolls improve with multiplier. Reward interaction; coins quest via gain(); can add rolls."
29,coin,??,currency,"Grants random gold: (20, 30, 40, or 50) x multiplier x (tier+1) x realm growth x position multiplier.",Reward scales with RG(); higher tier/realm increases practical value.,"position x=-12.568, y=1.002, z=-9.209; Directly multiplied by S.multi. Coins quest via gain(); weekly indirectly through rolls spent, not landing."
30,gem,??,currency/quest,Grants about 80 x multiplier x (tier+1) x realm growth x position multiplier coins and advances gem quest.,Scales with RG(); quest-specific gem progress.,"position x=-11.267, y=0.448, z=-10.995; Directly multiplied by S.multi. Explicit gem quest progress."
31,raid,??,battle,Starts raid/battle minigame scaled by multiplier x (tier+1).,Scale uses multiplier x tier; broader battle context depends on current army/economy.,"position x=-9.503, y=0.055, z=-12.334; Battle scale uses S.multi. Battle system."
32,crime,???,risk/reward,Triggers thief/crime event; can steal coins based on crime rate and grants rolls while reducing crime.,"Depends on current crime/tax economy, not tile realm art.","position x=-7.535, y=0.000, z=-13.360; No direct multiplier interaction. Crime/tax economy."
33,wheel,??,interactive reward,Starts Wheel of Fortune interaction scaled by multiplier and tier.,Scaled by multiplier and tier.,"position x=-5.534, y=0.000, z=-14.322; Wheel scale uses S.multi. Reward interaction."
34,coin,??,currency,"Grants random gold: (20, 30, 40, or 50) x multiplier x (tier+1) x realm growth x position multiplier.",Reward scales with RG(); higher tier/realm increases practical value.,"position x=-3.556, y=0.000, z=-15.328; Directly multiplied by S.multi. Coins quest via gain(); weekly indirectly through rolls spent, not landing."
35,hazard,??,penalty/event,Starts random disaster: fire/plague/flood/bandits; loses coins or rolls.,Coin loss cap scales with tier and RG(); disaster text varies randomly.,"position x=-1.532, y=0.000, z=-16.240; No direct multiplier interaction. Penalty/risk event."
36,bonus,?,roll reward,Adds 2 x multiplier rolls immediately.,No realm-specific variation.,"position x=0.614, y=0.000, z=-16.785; Roll reward is 2 x S.multi. Roll economy."
37,decree,??,choice/event,Starts royal decree choice event; affects kingdom policies/economy depending on selected decree.,Decree choices affect kingdom economy; presentation is not realm-specific.,"position x=2.818, y=0.000, z=-16.661; No direct multiplier interaction in tile landing. Progression/economy choice system."
38,recruit,???,soldiers,Adds 3 + tier x 2 soldiers.,Soldier reward scales by current tier.,"position x=4.807, y=0.000, z=-15.708; No direct multiplier interaction. Soldier/battle preparation."
39,coin,??,currency,"Grants random gold: (20, 30, 40, or 50) x multiplier x (tier+1) x realm growth x position multiplier.",Reward scales with RG(); higher tier/realm increases practical value.,"position x=6.325, y=0.000, z=-14.101; Directly multiplied by S.multi. Coins quest via gain(); weekly indirectly through rolls spent, not landing."
40,fortune,??,random event,"Draws weighted fortune card; can grant coins, rolls, soldiers, blessing, jackpot, or lose coins/soldiers/rolls.",Coin outcomes scale with tier and RG(); soldiers/rolls fixed by card.,"position x=7.365, y=0.000, z=-12.144; Many positive coin cards use multiplier; rolls/soldiers/losses usually do not. May affect coins/rolls/soldiers/blessing; store currency economy indirectly."
41,dragon,??,battle,Starts dragon battle scaled by multiplier x (tier+1); victory grants hoard and dragon-slayer boon.,"Scale uses multiplier x tier; breed cycles by dragonSlain, not realm.","position x=8.123, y=0.000, z=-10.058; Dragon scale/per-tap reward uses S.multi. Battle system; dragon-slayer progression/boon."
42,crime,???,risk/reward,Triggers thief/crime event; can steal coins based on crime rate and grants rolls while reducing crime.,"Depends on current crime/tax economy, not tile realm art.","position x=9.094, y=0.000, z=-8.073; No direct multiplier interaction. Crime/tax economy."
43,gem,??,currency/quest,Grants about 80 x multiplier x (tier+1) x realm growth x position multiplier coins and advances gem quest.,Scales with RG(); quest-specific gem progress.,"position x=10.861, y=0.000, z=-6.763; Directly multiplied by S.multi. Explicit gem quest progress."
44,coin,??,currency,"Grants random gold: (20, 30, 40, or 50) x multiplier x (tier+1) x realm growth x position multiplier.",Reward scales with RG(); higher tier/realm increases practical value.,"position x=12.899, y=0.000, z=-5.881; Directly multiplied by S.multi. Coins quest via gain(); weekly indirectly through rolls spent, not landing."
45,chest,??,interactive reward,Spawns tappable royal chest; grants gold and rolls after opening.,Gold scales with RG() and tier; rolls scale with tier.,"position x=14.894, y=0.000, z=-4.911; Gold and extra rolls improve with multiplier. Reward interaction; coins quest via gain(); can add rolls."
46,sprint,??,movement,Moves ahead 1 to 3 extra spaces.,No realm-specific variation.,"position x=16.720, y=0.000, z=-3.654; No direct multiplier interaction. Movement/progression; can skip/advance toward other spaces."
47,decree,??,choice/event,Starts royal decree choice event; affects kingdom policies/economy depending on selected decree.,Decree choices affect kingdom economy; presentation is not realm-specific.,"position x=18.209, y=0.000, z=-2.017; No direct multiplier interaction in tile landing. Progression/economy choice system."
